D (-1,-1,-1) (0,2,0)
D (-1,-1,-1) (4,1,1)
D (-1,-1,-1) (1,3,4)
D (-1,-1,-1) (4,1,2)
D (-1,-1,-1) (5,1,4)
D (-1,-1,-1) (4,0,1)
D (-1,-1,-1) (2,5,5)
D (-1,-1,-1) (0,3,0)
D (-1,-1,-1) (3,1,3)
D (-1,-1,-1) (2,4,5)
D (-1,-1,-1) (2,4,4)
D (-1,-1,-1) (0,2,1)
D (-1,-1,-1) (4,2,4)
D (-1,-1,-1) (4,1,3)
D (-1,-1,-1) (0,3,1)
D (-1,-1,-1) (2,5,4)
D (-1,-1,-1) (0,3,5)
D (-1,-1,-1) (3,0,3)
D (-1,-1,-1) (5,1,3)
D (-1,-1,-1) (0,4,3)
D (-1,-1,-1) (1,0,2)
D (-1,-1,-1) (2,3,3)
D (-1,-1,-1) (1,1,4)
D (-1,-1,-1) (0,0,5)
D (-1,-1,-1) (5,5,4)
D (-1,-1,-1) (4,5,1)
D (-1,-1,-1) (5,4,0)
D (-1,-1,-1) (0,1,0)
D (-1,-1,-1) (1,3,0)
D (-1,-1,-1) (0,5,1)
D (-1,-1,-1) (5,1,2)
D (-1,-1,-1) (0,0,2)
D (-1,-1,-1) (3,1,2)
D (-1,-1,-1) (3,4,3)
D (-1,-1,-1) (5,5,2)
D (-1,-1,-1) (3,2,0)
C 0 6
C 1 3
C 2 11
C 3 0
C 4 0
C 5 4
C 6 0
C 7 0
C 8 0
C 9 0
C 10 0
C 11 0
C 12 0
C 13 0
C 14 0
C 15 0
C 16 0
C 17 0
C 18 0
C 19 0
C 20 0
C 21 0
C 22 0
C 23 0
C 24 0
C 25 0
C 26 0
C 27 0
C 28 0
C 29 0
C 30 0
C 31 0
C 32 18
C 33 0
C 34 0
C 35 0
C 36 0
C 37 0
C 38 0
C 39 0
C 40 0
C 41 0
C 42 0
C 43 8
C 44 7
C 45 3
C 46 26
C 47 26
C 48 17
C 49 20
C 50 26
C 51 23
C 52 26
C 53 7
C 54 12
C 55 10
C 56 17
C 57 6
C 58 7
C 59 3
C 60 21
C 61 19
C 62 6
C 63 23
C 64 23
C 65 6
C 66 4
C 67 4
C 68 3
C 69 4
C 70 20
C 71 9
C 72 15
C 73 4
C 74 8
C 75 20
C 76 0
C 77 20
C 78 3
C 79 7
C 80 19
C 81 10
C 82 7
C 83 10
C 84 4
C 85 12
C 86 22
C 87 21
C 88 25
C 89 17
C 90 10
C 91 24
C 92 0
C 93 0
C 94 20
C 95 4
C 96 24
C 97 8
C 98 8
C 99 0
C 100 25
C 101 25
C 102 23
C 103 2
C 104 8
C 105 20
C 106 8
C 107 8
C 108 17
C 109 15
C 110 17
C 111 10
C 112 14
