D (-1,-1,-1) (4,1,2)
D (-1,-1,-1) (2,0,0)
D (-1,-1,-1) (0,5,0)
D (-1,-1,-1) (4,5,0)
D (-1,-1,-1) (5,1,4)
D (-1,-1,-1) (1,1,1)
D (-1,-1,-1) (3,0,5)
D (-1,-1,-1) (1,4,1)
D (-1,-1,-1) (5,1,3)
D (-1,-1,-1) (4,5,2)
D (-1,-1,-1) (3,4,0)
D (-1,-1,-1) (2,2,4)
D (-1,-1,-1) (4,0,1)
D (-1,-1,-1) (2,2,0)
D (-1,-1,-1) (3,1,2)
D (-1,-1,-1) (5,2,5)
D (-1,-1,-1) (2,1,0)
C 0 22
C 1 5
C 2 10
C 3 6
C 4 9
C 5 3
C 6 1
C 7 20
C 8 2
C 9 10
C 10 19
C 11 7
C 12 18
C 13 12
C 14 0
C 15 23
C 16 15
C 17 15
C 18 0
C 19 0
C 20 0
C 21 0
C 22 0
C 23 0
C 24 0
C 25 0
C 26 0
C 27 0
C 28 0
C 29 0
C 30 0
C 31 0
C 32 0
C 33 0
C 34 0
C 35 0
C 36 0
C 37 25
C 38 23
C 39 11
C 40 25
C 41 19
C 42 15
C 43 14
C 44 11
C 45 26
C 46 3
C 47 20
C 48 24
C 49 20
C 50 15
C 51 14
C 52 16
C 53 12
C 54 8
C 55 1
C 56 26
C 57 22
C 58 24
C 59 15
C 60 23
C 61 19
C 62 17
C 63 24
C 64 22
C 65 18
C 66 19
C 67 10
C 68 2
C 69 22
C 70 25
C 71 14
C 72 24
C 73 1
C 74 25
C 75 12
C 76 16
C 77 26
C 78 6
C 79 16
C 80 0
C 81 0
C 82 0
C 83 0
C 84 0
C 85 0
C 86 0
C 87 0
C 88 0
C 89 0
C 90 0
C 91 0
C 92 0
C 93 0
C 94 0
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 22
C 106 1
C 107 23
C 108 7
C 109 23
C 110 2
C 111 3
C 112 0
C 113 17
C 114 3
C 115 3
C 116 19
C 117 17
C 118 21
C 119 24
C 120 18
C 121 25
C 122 15
C 123 21
C 124 0
C 125 8
C 126 3
C 127 15
C 128 23
C 129 23
