D (-1,-1,-1) (4,3,1)
D (-1,-1,-1) (2,5,5)
D (-1,-1,-1) (2,3,5)
D (-1,-1,-1) (1,3,5)
D (-1,-1,-1) (3,3,1)
D (-1,-1,-1) (5,1,1)
D (-1,-1,-1) (1,0,4)
D (-1,-1,-1) (0,5,0)
D (-1,-1,-1) (4,2,1)
D (-1,-1,-1) (2,3,2)
D (-1,-1,-1) (5,3,4)
D (-1,-1,-1) (5,0,3)
D (-1,-1,-1) (4,4,5)
D (-1,-1,-1) (3,0,0)
D (-1,-1,-1) (3,4,5)
D (-1,-1,-1) (5,5,2)
D (-1,-1,-1) (2,1,5)
D (-1,-1,-1) (0,4,3)
D (-1,-1,-1) (0,1,1)
D (-1,-1,-1) (0,3,3)
D (-1,-1,-1) (0,0,4)
D (-1,-1,-1) (5,0,2)
D (-1,-1,-1) (4,2,2)
D (-1,-1,-1) (5,0,1)
D (-1,-1,-1) (0,5,1)
D (-1,-1,-1) (1,2,5)
C 0 8
C 1 15
C 2 22
C 3 18
C 4 9
C 5 9
C 6 4
C 7 16
C 8 6
C 9 12
C 10 24
C 11 8
C 12 11
C 13 1
C 14 9
C 15 8
C 16 18
C 17 23
C 18 7
C 19 20
C 20 11
C 21 5
C 22 7
C 23 10
C 24 21
C 25 19
C 26 6
C 27 11
C 28 15
C 29 14
C 30 2
C 31 10
C 32 12
C 33 23
C 34 18
C 35 5
C 36 26
C 37 2
C 38 6
C 39 2
C 40 20
C 41 26
C 42 2
C 43 12
C 44 24
C 45 0
C 46 22
C 47 26
C 48 25
C 49 4
C 50 9
C 51 21
C 52 2
C 53 4
C 54 4
C 55 26
C 56 9
C 57 10
C 58 0
C 59 14
C 60 4
C 61 17
C 62 17
C 63 5
C 64 10
C 65 0
C 66 12
C 67 21
C 68 11
C 69 9
C 70 9
C 71 12
C 72 22
C 73 12
C 74 25
C 75 15
C 76 17
C 77 9
C 78 6
C 79 12
C 80 15
C 81 23
C 82 9
C 83 20
C 84 18
C 85 24
C 86 5
C 87 26
C 88 14
C 89 23
C 90 8
C 91 11
C 92 2
C 93 23
C 94 4
C 95 10
C 96 26
C 97 7
C 98 16
C 99 16
C 100 23
C 101 20
C 102 4
C 103 3
C 104 4
C 105 5
C 106 16
C 107 26
C 108 14
C 109 23
C 110 0
C 111 12
C 112 1
C 113 11
C 114 0
C 115 2
C 116 15
C 117 8
C 118 8
C 119 23
C 120 5
C 121 26
C 122 14
C 123 0
C 124 23
C 125 1
C 126 2
C 127 5
C 128 12
C 129 23
C 130 11
C 131 16
C 132 19
C 133 4
C 134 8
C 135 6
C 136 24
C 137 11
C 138 25
C 139 22
C 140 11
C 141 14
C 142 21
C 143 17
C 144 12
C 145 19
C 146 3
C 147 1
C 148 5
C 149 11
C 150 5
C 151 14
C 152 9
C 153 22
C 154 0
C 155 22
C 156 21
C 157 25
C 158 15
C 159 11
C 160 0
C 161 16
C 162 20
C 163 3
C 164 9
C 165 26
C 166 19
C 167 21
C 168 6
C 169 8
C 170 11
C 171 24
C 172 19
C 173 23
C 174 3
C 175 21
C 176 9
C 177 7
C 178 19
C 179 11
C 180 22
C 181 2
C 182 8
C 183 11
C 184 12
C 185 19
C 186 22
C 187 6
C 188 12
C 189 18
C 190 12
C 191 20
C 192 14
C 193 10
C 194 11
C 195 7
C 196 18
C 197 0
C 198 7
C 199 19
C 200 21
C 201 21
C 202 17
C 203 5
C 204 11
C 205 22
C 206 21
C 207 1
C 208 2
C 209 16
C 210 26
C 211 25
C 212 3
C 213 24
C 214 14
C 215 20
C 216 2
C 217 15
C 218 25
C 219 7
C 220 18
C 221 20
C 222 7
C 223 7
C 224 25
C 225 25
C 226 19
C 227 11
C 228 11
C 229 3
C 230 20
C 231 2
C 232 10
C 233 20
C 234 19
C 235 15
C 236 14
C 237 5
C 238 25
C 239 7
C 240 11
C 241 9
C 242 16
C 243 21
C 244 17
C 245 7
C 246 4
C 247 11
C 248 20
C 249 2
C 250 17
C 251 3
C 252 0
C 253 14
C 254 9
C 255 10
C 256 10
C 257 1
C 258 14
C 259 26
C 260 3
C 261 11
C 262 16
C 263 8
C 264 8
C 265 2
C 266 24
C 267 16
C 268 19
C 269 14
C 270 6
C 271 5
C 272 0
C 273 0
C 274 18
C 275 3
C 276 3
C 277 0
C 278 24
C 279 2
C 280 3
C 281 0
C 282 0
C 283 0
C 284 0
C 285 0
C 286 0
C 287 0
C 288 0
C 289 0
C 290 0
C 291 0
C 292 0
C 293 0
C 294 0
C 295 0
C 296 0
C 297 0
C 298 0
C 299 0
C 300 0
C 301 0
C 302 0
C 303 0
C 304 0
C 305 0
C 306 0
C 307 0
C 308 0
C 309 0
C 310 0
C 311 0
C 312 0
C 313 0
C 314 0
C 315 0
C 316 0
C 317 0
C 318 0
C 319 0
C 320 0
C 321 0
C 322 0
C 323 0
C 324 0
