D (-1,-1,-1) (1,4,1)
D (-1,-1,-1) (2,1,0)
D (-1,-1,-1) (1,1,1)
D (-1,-1,-1) (4,2,2)
D (-1,-1,-1) (0,2,3)
D (-1,-1,-1) (2,0,2)
D (-1,-1,-1) (3,1,0)
D (-1,-1,-1) (5,5,1)
D (-1,-1,-1) (3,4,2)
D (-1,-1,-1) (5,4,5)
D (-1,-1,-1) (3,4,0)
D (-1,-1,-1) (1,2,0)
D (-1,-1,-1) (0,4,5)
D (-1,-1,-1) (4,2,0)
D (-1,-1,-1) (3,5,5)
D (-1,-1,-1) (0,4,1)
D (-1,-1,-1) (5,1,5)
D (-1,-1,-1) (3,0,5)
D (-1,-1,-1) (2,5,3)
D (-1,-1,-1) (5,2,5)
D (-1,-1,-1) (5,0,0)
D (-1,-1,-1) (3,4,3)
D (-1,-1,-1) (3,0,0)
D (-1,-1,-1) (2,5,2)
D (-1,-1,-1) (3,3,2)
D (-1,-1,-1) (4,3,2)
D (-1,-1,-1) (0,5,0)
D (-1,-1,-1) (4,0,2)
D (-1,-1,-1) (0,0,2)
D (-1,-1,-1) (1,4,5)
C 0 8
C 1 11
C 2 20
C 3 6
C 4 10
C 5 12
C 6 22
C 7 11
C 8 4
C 9 20
C 10 9
C 11 14
C 12 1
C 13 10
C 14 26
C 15 6
C 16 14
C 17 25
C 18 16
C 19 0
C 20 11
C 21 11
C 22 15
C 23 12
C 24 26
C 25 4
C 26 22
C 27 4
C 28 5
C 29 24
C 30 15
C 31 7
C 32 7
C 33 16
C 34 24
C 35 25
C 36 6
C 37 22
C 38 3
C 39 7
C 40 4
C 41 22
C 42 19
C 43 2
C 44 21
C 45 25
C 46 5
C 47 23
C 48 18
C 49 1
C 50 16
C 51 4
C 52 2
C 53 6
C 54 23
C 55 6
C 56 11
C 57 14
C 58 19
C 59 11
C 60 3
C 61 22
C 62 19
C 63 9
C 64 6
C 65 26
C 66 4
C 67 12
C 68 5
C 69 9
C 70 11
C 71 12
C 72 23
C 73 23
C 74 11
C 75 14
C 76 17
C 77 1
C 78 23
C 79 17
C 80 0
C 81 0
C 82 0
C 83 0
C 84 0
C 85 0
C 86 0
C 87 0
C 88 0
C 89 0
C 90 0
C 91 0
C 92 0
C 93 0
C 94 0
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 0
C 110 0
C 111 0
C 112 0
C 113 0
C 114 0
C 115 0
C 116 0
C 117 0
C 118 0
C 119 0
C 120 0
C 121 0
C 122 0
C 123 0
C 124 0
C 125 0
C 126 0
C 127 0
C 128 0
C 129 0
C 130 0
C 131 0
C 132 0
C 133 0
C 134 0
C 135 0
C 136 0
C 137 0
C 138 0
C 139 0
C 140 0
C 141 0
C 142 0
C 143 0
C 144 0
C 145 0
C 146 0
C 147 0
C 148 0
C 149 0
C 150 0
C 151 0
C 152 0
C 153 0
C 154 0
C 155 0
C 156 0
C 157 0
C 158 0
C 159 0
C 160 0
C 161 0
C 162 0
C 163 0
C 164 0
C 165 0
C 166 0
C 167 0
C 168 0
C 169 0
C 170 0
C 171 0
C 172 2
C 173 24
C 174 21
C 175 5
C 176 23
C 177 6
C 178 16
C 179 12
C 180 15
C 181 24
C 182 6
C 183 21
C 184 4
C 185 1
C 186 26
C 187 14
C 188 25
C 189 17
C 190 3
C 191 5
C 192 4
C 193 10
C 194 16
C 195 11
C 196 3
C 197 24
C 198 26
C 199 9
C 200 10
C 201 2
C 202 8
C 203 26
C 204 5
C 205 7
C 206 23
C 207 14
C 208 20
C 209 18
C 210 19
C 211 19
C 212 5
C 213 0
C 214 0
C 215 0
C 216 0
C 217 0
C 218 0
C 219 0
C 220 0
C 221 0
C 222 0
C 223 0
C 224 0
C 225 0
C 226 0
C 227 0
C 228 0
C 229 0
C 230 0
C 231 0
C 232 0
C 233 0
C 234 0
C 235 0
C 236 0
C 237 0
C 238 0
C 239 0
C 240 0
C 241 0
C 242 0
C 243 0
C 244 0
C 245 0
C 246 0
C 247 0
C 248 0
C 249 0
C 250 0
C 251 0
C 252 0
C 253 0
C 254 0
C 255 0
C 256 0
C 257 0
C 258 0
C 259 0
C 260 0
C 261 0
C 262 0
C 263 0
C 264 0
C 265 0
C 266 0
C 267 0
C 268 0
C 269 0
C 270 0
C 271 0
C 272 0
C 273 0
C 274 0
C 275 0
C 276 0
C 277 0
C 278 0
C 279 0
C 280 0
C 281 0
C 282 0
C 283 0
C 284 0
C 285 0
C 286 0
C 287 0
C 288 0
C 289 0
C 290 0
C 291 0
C 292 0
C 293 0
C 294 0
C 295 0
C 296 0
C 297 0
C 298 0
C 299 0
C 300 0
C 301 0
C 302 0
C 303 0
C 304 0
C 305 0
C 306 0
C 307 0
C 308 0
C 309 0
C 310 0
C 311 0
C 312 0
C 313 0
C 314 0
C 315 0
C 316 0
C 317 0
C 318 0
C 319 0
C 320 0
C 321 0
C 322 0
C 323 0
C 324 0
C 325 0
C 326 0
C 327 0
C 328 0
C 329 15
C 330 12
C 331 23
C 332 18
C 333 15
C 334 4
C 335 24
C 336 9
C 337 6
C 338 5
C 339 6
C 340 4
C 341 7
C 342 18
C 343 7
C 344 7
C 345 6
C 346 26
C 347 4
C 348 0
C 349 7
C 350 18
C 351 3
C 352 11
C 353 23
C 354 25
C 355 12
C 356 10
C 357 10
C 358 18
C 359 7
C 360 9
C 361 3
C 362 0
