D (-1,-1,-1) (4,2,0)
D (-1,-1,-1) (0,5,3)
D (-1,-1,-1) (3,3,3)
D (-1,-1,-1) (3,4,5)
D (-1,-1,-1) (0,4,2)
D (-1,-1,-1) (1,5,3)
D (-1,-1,-1) (3,5,2)
D (-1,-1,-1) (1,1,5)
D (-1,-1,-1) (3,2,5)
D (-1,-1,-1) (2,0,5)
D (-1,-1,-1) (2,4,1)
D (-1,-1,-1) (3,2,0)
D (-1,-1,-1) (5,5,3)
D (-1,-1,-1) (5,1,3)
D (-1,-1,-1) (2,1,1)
D (-1,-1,-1) (3,1,5)
D (-1,-1,-1) (2,5,5)
D (-1,-1,-1) (5,1,2)
D (-1,-1,-1) (1,5,5)
D (-1,-1,-1) (0,5,5)
D (-1,-1,-1) (5,2,3)
D (-1,-1,-1) (5,4,5)
D (-1,-1,-1) (4,3,4)
D (-1,-1,-1) (3,0,2)
D (-1,-1,-1) (0,0,1)
D (-1,-1,-1) (3,1,0)
D (-1,-1,-1) (3,0,3)
D (-1,-1,-1) (2,5,4)
C 0 19
C 1 4
C 2 23
C 3 24
C 4 16
C 5 23
C 6 24
C 7 25
C 8 9
C 9 0
C 10 23
C 11 16
C 12 18
C 13 1
C 14 15
C 15 10
C 16 20
C 17 14
C 18 12
C 19 16
C 20 2
C 21 23
C 22 1
C 23 9
C 24 8
C 25 1
C 26 9
C 27 25
C 28 0
C 29 25
C 30 0
C 31 19
C 32 19
C 33 4
C 34 15
C 35 19
C 36 1
C 37 15
C 38 14
C 39 6
C 40 4
C 41 22
C 42 24
C 43 12
C 44 6
C 45 12
C 46 14
C 47 2
C 48 16
C 49 18
C 50 21
C 51 15
C 52 3
C 53 26
C 54 1
C 55 18
C 56 22
C 57 8
C 58 15
C 59 22
C 60 26
C 61 6
C 62 1
C 63 21
C 64 8
C 65 12
C 66 11
C 67 8
C 68 12
C 69 25
C 70 23
C 71 6
C 72 17
C 73 17
C 74 17
C 75 2
C 76 8
C 77 0
C 78 25
C 79 0
C 80 0
C 81 0
C 82 0
C 83 0
C 84 0
