D (-1,-1,-1) (1,1,1)
D (-1,-1,-1) (0,5,5)
D (-1,-1,-1) (4,4,4)
D (-1,-1,-1) (1,4,0)
D (-1,-1,-1) (2,0,1)
D (-1,-1,-1) (0,3,1)
D (-1,-1,-1) (3,4,0)
D (-1,-1,-1) (0,1,5)
D (-1,-1,-1) (0,5,1)
D (-1,-1,-1) (3,3,5)
D (-1,-1,-1) (1,0,0)
D (-1,-1,-1) (5,5,4)
D (-1,-1,-1) (3,3,0)
D (-1,-1,-1) (0,5,4)
D (-1,-1,-1) (2,2,3)
D (-1,-1,-1) (2,4,0)
D (-1,-1,-1) (5,3,1)
C 0 5
C 1 0
C 2 16
C 3 14
C 4 24
C 5 3
C 6 0
C 7 0
C 8 0
C 9 0
C 10 0
C 11 2
C 12 9
C 13 21
C 14 22
C 15 20
C 16 7
C 17 1
C 18 24
C 19 5
C 20 15
C 21 0
C 22 0
C 23 0
C 24 0
C 25 0
C 26 0
C 27 0
C 28 0
C 29 0
C 30 0
C 31 0
C 32 0
C 33 0
C 34 0
C 35 0
C 36 0
C 37 0
C 38 0
C 39 0
C 40 0
C 41 0
C 42 0
C 43 0
C 44 0
C 45 0
C 46 0
C 47 0
C 48 0
C 49 0
C 50 0
C 51 0
C 52 0
C 53 0
C 54 0
C 55 0
C 56 0
C 57 0
C 58 0
C 59 0
C 60 0
C 61 0
C 62 0
C 63 0
C 64 0
C 65 0
C 66 0
C 67 0
C 68 0
C 69 0
C 70 0
C 71 0
C 72 0
C 73 0
C 74 0
C 75 0
C 76 0
C 77 0
C 78 0
C 79 0
C 80 18
C 81 17
C 82 0
C 83 19
C 84 7
C 85 24
C 86 15
C 87 5
C 88 8
C 89 18
C 90 7
C 91 18
C 92 3
C 93 9
C 94 3
C 95 0
C 96 2
C 97 14
C 98 16
C 99 6
C 100 7
C 101 19
C 102 25
C 103 19
C 104 2
C 105 21
C 106 19
C 107 24
C 108 21
C 109 11
C 110 23
C 111 10
C 112 11
C 113 12
C 114 14
C 115 3
C 116 24
C 117 4
C 118 15
C 119 5
C 120 21
C 121 2
C 122 2
C 123 6
C 124 1
C 125 11
C 126 12
C 127 3
C 128 25
C 129 24
C 130 16
C 131 17
C 132 8
C 133 14
C 134 17
C 135 23
C 136 14
C 137 23
C 138 19
C 139 7
C 140 17
C 141 16
C 142 4
C 143 1
C 144 17
C 145 1
C 146 18
C 147 26
C 148 15
C 149 7
C 150 3
C 151 3
C 152 17
C 153 9
C 154 5
C 155 6
C 156 9
C 157 17
C 158 9
C 159 22
C 160 12
C 161 9
C 162 26
C 163 4
C 164 25
C 165 2
C 166 16
C 167 4
C 168 18
C 169 12
C 170 6
C 171 18
C 172 15
C 173 22
C 174 23
C 175 9
C 176 18
C 177 24
C 178 18
C 179 19
C 180 15
C 181 10
C 182 26
C 183 11
C 184 20
C 185 6
C 186 19
C 187 23
C 188 10
C 189 12
C 190 11
C 191 26
C 192 0
C 193 6
C 194 5
C 195 8
C 196 4
C 197 0
C 198 4
C 199 9
C 200 20
C 201 25
C 202 4
C 203 26
C 204 24
C 205 22
C 206 0
C 207 9
C 208 2
C 209 24
C 210 6
C 211 7
C 212 8
C 213 7
C 214 19
C 215 2
C 216 2
C 217 10
C 218 21
C 219 25
C 220 10
C 221 2
C 222 12
C 223 5
C 224 15
C 225 15
C 226 7
C 227 16
C 228 11
C 229 11
C 230 5
C 231 21
C 232 22
C 233 16
C 234 24
C 235 2
C 236 10
C 237 21
C 238 9
C 239 0
C 240 25
C 241 11
C 242 25
C 243 15
C 244 21
C 245 0
C 246 6
C 247 1
C 248 26
C 249 24
C 250 4
C 251 18
C 252 11
C 253 3
C 254 3
C 255 24
C 256 11
C 257 4
C 258 3
C 259 9
C 260 18
C 261 10
C 262 21
C 263 16
C 264 15
C 265 14
C 266 18
C 267 5
C 268 21
C 269 21
C 270 19
C 271 18
C 272 9
C 273 5
C 274 17
C 275 18
C 276 21
C 277 8
C 278 14
C 279 24
C 280 5
C 281 10
C 282 24
C 283 22
C 284 2
C 285 24
C 286 5
C 287 20
C 288 17
C 289 19
C 290 8
C 291 20
C 292 7
C 293 24
C 294 24
C 295 7
C 296 15
C 297 17
C 298 16
C 299 14
C 300 0
C 301 26
C 302 5
C 303 3
C 304 17
C 305 6
C 306 0
C 307 15
C 308 3
C 309 2
C 310 1
C 311 1
C 312 6
C 313 23
C 314 25
C 315 24
C 316 15
C 317 0
C 318 0
C 319 0
C 320 0
C 321 0
C 322 0
C 323 0
C 324 0
C 325 0
C 326 0
C 327 0
C 328 0
C 329 0
C 330 0
C 331 0
C 332 0
C 333 0
C 334 0
C 335 0
C 336 0
C 337 0
C 338 0
C 339 0
C 340 0
C 341 0
C 342 0
C 343 0
C 344 0
C 345 0
C 346 0
C 347 0
C 348 0
C 349 0
C 350 0
C 351 0
C 352 0
C 353 0
C 354 0
C 355 0
C 356 0
C 357 0
C 358 0
C 359 0
C 360 0
C 361 0
C 362 0
C 363 0
C 364 0
C 365 0
C 366 0
C 367 0
C 368 0
C 369 0
C 370 0
C 371 0
C 372 0
C 373 0
C 374 0
C 375 0
C 376 0
C 377 0
C 378 0
C 379 0
C 380 0
C 381 0
C 382 0
C 383 0
C 384 0
C 385 0
C 386 0
C 387 0
C 388 0
C 389 0
C 390 0
C 391 0
C 392 0
C 393 0
C 394 0
C 395 0
C 396 0
C 397 0
C 398 11
C 399 14
C 400 20
C 401 17
C 402 25
C 403 1
C 404 24
I 0 3 2 (1,1,0) (0,1,1,0)|(-1,0,-1,0)
