D (-1,-1,-1) (0,2,1)
D (-1,-1,-1) (0,1,4)
D (-1,-1,-1) (1,5,4)
D (-1,-1,-1) (5,4,4)
D (-1,-1,-1) (4,2,4)
D (-1,-1,-1) (0,4,1)
D (-1,-1,-1) (0,5,1)
D (-1,-1,-1) (1,0,0)
D (-1,-1,-1) (5,2,5)
D (-1,-1,-1) (4,4,2)
D (-1,-1,-1) (3,4,0)
D (-1,-1,-1) (4,0,2)
D (-1,-1,-1) (0,4,0)
D (-1,-1,-1) (4,4,5)
D (-1,-1,-1) (0,1,3)
D (-1,-1,-1) (3,2,5)
D (-1,-1,-1) (2,3,3)
D (-1,-1,-1) (4,5,0)
D (-1,-1,-1) (5,2,1)
D (-1,-1,-1) (0,2,0)
D (-1,-1,-1) (2,3,4)
D (-1,-1,-1) (0,0,0)
D (-1,-1,-1) (1,4,2)
D (-1,-1,-1) (2,1,4)
D (-1,-1,-1) (1,5,0)
D (-1,-1,-1) (5,2,2)
D (-1,-1,-1) (3,2,4)
D (-1,-1,-1) (3,4,5)
D (-1,-1,-1) (0,1,2)
D (-1,-1,-1) (5,3,3)
D (-1,-1,-1) (5,0,0)
D (-1,-1,-1) (0,1,0)
D (-1,-1,-1) (4,3,3)
D (-1,-1,-1) (5,2,3)
D (-1,-1,-1) (1,0,4)
D (-1,-1,-1) (1,3,2)
D (-1,-1,-1) (0,0,1)
D (-1,-1,-1) (0,3,1)
D (-1,-1,-1) (0,1,1)
C 0 9
C 1 3
C 2 24
C 3 21
C 4 21
C 5 19
C 6 11
C 7 20
C 8 19
C 9 8
C 10 21
C 11 19
C 12 24
C 13 11
C 14 12
C 15 16
C 16 15
C 17 12
C 18 11
C 19 16
C 20 15
C 21 6
C 22 12
C 23 17
C 24 11
C 25 19
C 26 6
C 27 4
C 28 5
C 29 14
C 30 5
C 31 1
C 32 2
C 33 16
C 34 19
C 35 22
C 36 15
C 37 21
C 38 5
C 39 14
C 40 11
C 41 20
C 42 24
C 43 0
C 44 19
C 45 22
C 46 25
C 47 7
C 48 14
C 49 16
C 50 4
C 51 26
C 52 14
C 53 0
C 54 0
C 55 0
C 56 0
C 57 0
C 58 0
C 59 0
C 60 0
C 61 0
C 62 0
C 63 0
C 64 0
C 65 0
C 66 0
C 67 0
C 68 0
C 69 0
C 70 0
C 71 0
C 72 0
C 73 0
C 74 0
C 75 0
C 76 0
C 77 0
C 78 0
C 79 0
C 80 0
C 81 0
C 82 0
C 83 0
C 84 0
C 85 0
C 86 0
C 87 0
C 88 0
C 89 0
C 90 0
C 91 0
C 92 0
C 93 0
C 94 0
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 0
C 110 0
C 111 0
C 112 0
C 113 0
C 114 0
C 115 0
C 116 0
C 117 0
C 118 0
C 119 0
C 120 0
C 121 0
C 122 0
C 123 0
C 124 0
C 125 0
C 126 0
C 127 0
C 128 0
C 129 0
C 130 0
C 131 0
C 132 0
C 133 0
C 134 14
C 135 0
C 136 0
C 137 0
C 138 0
C 139 0
C 140 0
C 141 0
C 142 0
C 143 0
C 144 0
C 145 0
C 146 0
C 147 0
C 148 0
C 149 0
C 150 0
C 151 0
C 152 0
C 153 0
C 154 0
C 155 0
C 156 0
