D (-1,-1,-1) (2,5,1)
D (-1,-1,-1) (3,1,0)
D (-1,-1,-1) (0,5,5)
D (-1,-1,-1) (2,1,5)
D (-1,-1,-1) (1,5,2)
D (-1,-1,-1) (0,4,2)
D (-1,-1,-1) (5,4,0)
D (-1,-1,-1) (0,0,3)
D (-1,-1,-1) (4,3,1)
D (-1,-1,-1) (1,3,2)
D (-1,-1,-1) (0,5,0)
D (-1,-1,-1) (2,2,2)
D (-1,-1,-1) (4,1,2)
D (-1,-1,-1) (2,3,0)
C 0 15
C 1 16
C 2 9
C 3 26
C 4 19
C 5 12
C 6 23
C 7 11
C 8 6
C 9 3
C 10 21
C 11 19
C 12 18
C 13 17
C 14 18
C 15 3
C 16 17
C 17 16
C 18 7
C 19 2
C 20 19
C 21 5
C 22 10
C 23 26
C 24 23
C 25 22
C 26 7
C 27 26
C 28 17
C 29 1
C 30 3
C 31 17
C 32 23
C 33 1
C 34 20
C 35 11
C 36 16
C 37 15
C 38 26
C 39 3
C 40 19
C 41 11
C 42 10
C 43 3
C 44 26
C 45 2
C 46 12
C 47 1
C 48 1
C 49 12
C 50 19
C 51 12
C 52 18
C 53 0
C 54 14
C 55 23
C 56 1
C 57 17
C 58 25
C 59 8
C 60 7
C 61 16
C 62 18
C 63 17
C 64 22
C 65 1
C 66 15
C 67 5
C 68 18
C 69 5
C 70 10
C 71 21
C 72 1
C 73 16
C 74 18
C 75 10
C 76 26
C 77 0
C 78 1
C 79 5
C 80 15
C 81 16
C 82 17
C 83 26
C 84 26
C 85 8
C 86 17
C 87 10
C 88 7
C 89 0
C 90 20
C 91 25
C 92 4
C 93 5
C 94 15
C 95 24
C 96 8
C 97 26
C 98 24
C 99 15
C 100 4
C 101 19
C 102 15
C 103 21
C 104 20
C 105 15
C 106 10
C 107 14
C 108 22
C 109 20
C 110 8
C 111 15
C 112 21
C 113 18
C 114 0
C 115 3
C 116 8
C 117 5
C 118 24
C 119 0
C 120 12
C 121 19
C 122 23
C 123 1
C 124 12
C 125 2
C 126 9
C 127 0
C 128 26
C 129 12
C 130 6
C 131 9
C 132 25
C 133 16
C 134 18
C 135 20
C 136 2
C 137 3
C 138 3
C 139 6
C 140 9
C 141 12
C 142 23
C 143 5
C 144 15
C 145 25
C 146 4
C 147 0
C 148 14
C 149 8
C 150 11
C 151 2
C 152 8
C 153 10
C 154 14
C 155 8
C 156 15
C 157 11
C 158 18
C 159 19
C 160 10
C 161 0
C 162 26
C 163 19
C 164 25
C 165 6
C 166 19
C 167 20
C 168 7
C 169 20
C 170 10
C 171 20
C 172 18
C 173 2
C 174 3
C 175 2
C 176 19
C 177 6
C 178 24
C 179 15
C 180 11
C 181 5
C 182 14
C 183 14
C 184 26
C 185 5
C 186 12
C 187 16
C 188 21
C 189 17
C 190 26
C 191 7
C 192 17
C 193 24
C 194 17
C 195 26
C 196 6
C 197 11
C 198 15
C 199 23
C 200 1
C 201 23
C 202 5
C 203 18
C 204 10
C 205 3
C 206 3
C 207 16
C 208 10
C 209 6
C 210 17
C 211 26
C 212 24
C 213 10
C 214 14
C 215 25
C 216 10
C 217 19
C 218 0
C 219 2
C 220 26
C 221 11
C 222 23
C 223 2
C 224 18
C 225 1
C 226 24
C 227 5
C 228 14
C 229 2
C 230 8
C 231 10
C 232 21
C 233 8
C 234 26
C 235 2
C 236 17
C 237 8
C 238 9
C 239 25
C 240 3
C 241 2
C 242 16
C 243 0
C 244 9
C 245 8
C 246 14
C 247 1
