H 0 Pos=(2,5,3) Data=(0,1,-1) Life=1 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=1 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(0,1,-1) Life=1 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=2 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(0,1,-1) Life=3 Nxt=(1,1,-1) Col=(1,5,4)0 Mov,Pat=0,0 Seq=3 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(2,3,-1) Life=3 Nxt=(-1,-1,1) Col=(3,5,2)0 Mov,Pat=0,0 Seq=3 Cli=0 E=0
H 0 Pos=(4,6,1) Data=(0,1,-1) Life=3 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=4 Cli=0 E=0
H 0 Pos=(0,4,5) Data=(2,3,-1) Life=3 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=4 Cli=0 E=0
H 0 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=5 Cli=0 E=0
H 0 Pos=(2,5,3) Data=(4,5,-1) Life=5 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=5 Cli=0 E=0
H 0 Pos=(0,4,5) Data=(2,3,-1) Life=3 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=6 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(4,5,-1) Life=5 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=6 Cli=0 E=0
H 0 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=7 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(4,5,-1) Life=7 Nxt=(0,0,0) Col=(1,5,4)0 Mov,Pat=0,0 Seq=7 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(6,7,-1) Life=7 Nxt=(0,0,0) Col=(3,5,2)0 Mov,Pat=0,0 Seq=7 Cli=0 E=0
H 0 Pos=(0,4,5) Data=(2,3,-1) Life=3 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=8 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(4,5,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=8 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(6,7,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=8 Cli=0 E=0
H 0 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=9 Cli=0 E=0
H 0 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=9 Cli=0 E=0
H 0 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=9 Cli=0 E=0
H 0 Pos=(0,4,5) Data=(2,3,-1) Life=3 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=10 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(4,5,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=10 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(6,7,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=10 Cli=0 E=0
H 0 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=11 Cli=0 E=0
H 0 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=11 Cli=0 E=0
H 0 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=11 Cli=0 E=0
H 0 Pos=(0,4,5) Data=(2,3,-1) Life=3 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=12 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(4,5,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=12 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(6,7,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=12 Cli=0 E=0
H 0 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=13 Cli=0 E=0
H 0 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=13 Cli=0 E=0
H 0 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=13 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=14 Cli=0 E=0
H 0 Pos=(3,5,2) Data=(4,5,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=14 Cli=0 E=0
H 0 Pos=(1,5,4) Data=(6,7,-1) Life=7 Nxt=(1,0,-1) Col=(0,0,0)0 Mov,Pat=1,0 Seq=14 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=15 Cli=0 E=0
H 0 Pos=(4,5,1) Data=(4,5,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=15 Cli=0 E=0
H 0 Pos=(2,5,3) Data=(6,7,-1) Life=7 Nxt=(-1,0,1) Col=(0,0,0)0 Mov,Pat=0,0 Seq=15 Cli=0 E=0
H 1 Pos=(1,4,4) Data=(2,3,-1) Life=3 Nxt=(0,0,0) Col=(0,0,0)0 Mov,Pat=0,0 Seq=16 Cli=0 E=0
